% Model:              VerificationExample_7-3.mph
% Version:            COMSOL 5.3.1.201
% Date:               Feb 6 2018, 14:19
% Table:              Table 1 {tbl1} - Point Evaluation 1 {pev1} (sigma_uni)
% T_in (K)               ep_in                    sigma_uni, Point: 2
343.15                   0.016                    650000000
343.15                   0.0165                   650000000
343.15                   0.017                    650000000
343.15                   0.0175                   650000000
343.15                   0.018000000000000002     650000000
343.15                   0.0185                   650000000
343.15                   0.019                    650000000
343.15                   0.0195                   650000000
343.15                   0.02                     650000000
344.15                   0                        0
344.15                   5.0E-4                   105000000
344.15                   0.001                    210000000
344.15                   0.0015                   315000000
344.15                   0.002                    420000000
344.15                   0.0025                   525000000
344.15                   0.003                    630000000
344.15                   0.0035                   650000000
344.15                   0.004                    650000000
344.15                   0.0045000000000000005    650000000
344.15                   0.005                    650000000
344.15                   0.0055                   650000000
344.15                   0.006                    650000000
344.15                   0.006500000000000001     650000000
344.15                   0.007                    650000000
344.15                   0.0075                   650000000
344.15                   0.008                    650000000
344.15                   0.0085                   650000000
344.15                   0.009000000000000001     650000000
344.15                   0.0095                   650000000
344.15                   0.01                     650000000
344.15                   0.0105                   650000000
344.15                   0.011                    650000000
344.15                   0.0115                   650000000
344.15                   0.012                    650000000
344.15                   0.0125                   650000000
344.15                   0.013000000000000001     650000000
344.15                   0.0135                   650000000
344.15                   0.014                    650000000
344.15                   0.0145                   650000000
344.15                   0.015                    650000000
344.15                   0.0155                   650000000
344.15                   0.016                    650000000
344.15                   0.0165                   650000000
344.15                   0.017                    650000000
344.15                   0.0175                   650000000
344.15                   0.018000000000000002     650000000
344.15                   0.0185                   650000000
344.15                   0.019                    650000000
344.15                   0.0195                   650000000
344.15                   0.02                     650000000
345.15                   0                        0
345.15                   5.0E-4                   105000000
345.15                   0.001                    210000000
345.15                   0.0015                   315000000
345.15                   0.002                    420000000
345.15                   0.0025                   525000000
345.15                   0.003                    630000000
345.15                   0.0035                   650000000
345.15                   0.004                    650000000
345.15                   0.0045000000000000005    650000000
345.15                   0.005                    650000000
345.15                   0.0055                   650000000
345.15                   0.006                    650000000
345.15                   0.006500000000000001     650000000
345.15                   0.007                    650000000
345.15                   0.0075                   650000000
345.15                   0.008                    650000000
345.15                   0.0085                   650000000
345.15                   0.009000000000000001     650000000
345.15                   0.0095                   650000000
345.15                   0.01                     650000000
345.15                   0.0105                   650000000
345.15                   0.011                    650000000
345.15                   0.0115                   650000000
345.15                   0.012                    650000000
345.15                   0.0125                   650000000
345.15                   0.013000000000000001     650000000
345.15                   0.0135                   650000000
345.15                   0.014                    650000000
345.15                   0.0145                   650000000
345.15                   0.015                    650000000
345.15                   0.0155                   650000000
345.15                   0.016                    650000000
345.15                   0.0165                   650000000
345.15                   0.017                    650000000
345.15                   0.0175                   650000000
345.15                   0.018000000000000002     650000000
345.15                   0.0185                   650000000
345.15                   0.019                    650000000
345.15                   0.0195                   650000000
345.15                   0.02                     650000000
346.15                   0                        0
346.15                   5.0E-4                   105000000
346.15                   0.001                    210000000
346.15                   0.0015                   315000000
346.15                   0.002                    420000000
346.15                   0.0025                   525000000
346.15                   0.003                    630000000
346.15                   0.0035                   650000000
346.15                   0.004                    650000000
346.15                   0.0045000000000000005    650000000
346.15                   0.005                    650000000
346.15                   0.0055                   650000000
346.15                   0.006                    650000000
346.15                   0.006500000000000001     650000000
346.15                   0.007                    650000000
346.15                   0.0075                   650000000
346.15                   0.008                    650000000
346.15                   0.0085                   650000000
346.15                   0.009000000000000001     650000000
346.15                   0.0095                   650000000
346.15                   0.01                     650000000
346.15                   0.0105                   650000000
346.15                   0.011                    650000000
346.15                   0.0115                   650000000
346.15                   0.012                    650000000
346.15                   0.0125                   650000000
346.15                   0.013000000000000001     650000000
346.15                   0.0135                   650000000
346.15                   0.014                    650000000
346.15                   0.0145                   650000000
346.15                   0.015                    650000000
346.15                   0.0155                   650000000
346.15                   0.016                    650000000
346.15                   0.0165                   650000000
346.15                   0.017                    650000000
346.15                   0.0175                   650000000
346.15                   0.018000000000000002     650000000
346.15                   0.0185                   650000000
346.15                   0.019                    650000000
346.15                   0.0195                   650000000
346.15                   0.02                     650000000
347.15                   0                        0
347.15                   5.0E-4                   105000000
347.15                   0.001                    210000000
347.15                   0.0015                   315000000
347.15                   0.002                    420000000
347.15                   0.0025                   525000000
347.15                   0.003                    630000000
347.15                   0.0035                   650000000
347.15                   0.004                    650000000
347.15                   0.0045000000000000005    650000000
347.15                   0.005                    650000000
347.15                   0.0055                   650000000
347.15                   0.006                    650000000
347.15                   0.006500000000000001     650000000
347.15                   0.007                    650000000
347.15                   0.0075                   650000000
347.15                   0.008                    650000000
347.15                   0.0085                   650000000
347.15                   0.009000000000000001     650000000
347.15                   0.0095                   650000000
347.15                   0.01                     650000000
347.15                   0.0105                   650000000
347.15                   0.011                    650000000
347.15                   0.0115                   650000000
347.15                   0.012                    650000000
347.15                   0.0125                   650000000
347.15                   0.013000000000000001     650000000
347.15                   0.0135                   650000000
347.15                   0.014                    650000000
347.15                   0.0145                   650000000
347.15                   0.015                    650000000
347.15                   0.0155                   650000000
347.15                   0.016                    650000000
347.15                   0.0165                   650000000
347.15                   0.017                    650000000
347.15                   0.0175                   650000000
347.15                   0.018000000000000002     650000000
347.15                   0.0185                   650000000
347.15                   0.019                    650000000
347.15                   0.0195                   650000000
347.15                   0.02                     650000000
348.15                   0                        0
348.15                   5.0E-4                   105000000
348.15                   0.001                    210000000
348.15                   0.0015                   315000000
348.15                   0.002                    420000000
348.15                   0.0025                   525000000
348.15                   0.003                    630000000
348.15                   0.0035                   650000000
348.15                   0.004                    650000000
348.15                   0.0045000000000000005    650000000
348.15                   0.005                    650000000
348.15                   0.0055                   650000000
348.15                   0.006                    650000000
348.15                   0.006500000000000001     650000000
348.15                   0.007                    650000000
348.15                   0.0075                   650000000
348.15                   0.008                    650000000
348.15                   0.0085                   650000000
348.15                   0.009000000000000001     650000000
348.15                   0.0095                   650000000
348.15                   0.01                     650000000
348.15                   0.0105                   650000000
348.15                   0.011                    650000000
348.15                   0.0115                   650000000
348.15                   0.012                    650000000
348.15                   0.0125                   650000000
348.15                   0.013000000000000001     650000000
348.15                   0.0135                   650000000
348.15                   0.014                    650000000
348.15                   0.0145                   650000000
348.15                   0.015                    650000000
348.15                   0.0155                   650000000
348.15                   0.016                    650000000
348.15                   0.0165                   650000000
348.15                   0.017                    650000000
348.15                   0.0175                   650000000
348.15                   0.018000000000000002     650000000
348.15                   0.0185                   650000000
348.15                   0.019                    650000000
348.15                   0.0195                   650000000
348.15                   0.02                     650000000
349.15                   0                        0
349.15                   5.0E-4                   105000000
349.15                   0.001                    210000000
349.15                   0.0015                   315000000
349.15                   0.002                    420000000
349.15                   0.0025                   525000000
349.15                   0.003                    630000000
349.15                   0.0035                   650000000
349.15                   0.004                    650000000
349.15                   0.0045000000000000005    650000000
349.15                   0.005                    650000000
349.15                   0.0055                   650000000
349.15                   0.006                    650000000
349.15                   0.006500000000000001     650000000
349.15                   0.007                    650000000
349.15                   0.0075                   650000000
349.15                   0.008                    650000000
349.15                   0.0085                   650000000
349.15                   0.009000000000000001     650000000
349.15                   0.0095                   650000000
349.15                   0.01                     650000000
349.15                   0.0105                   650000000
349.15                   0.011                    650000000
349.15                   0.0115                   650000000
349.15                   0.012                    650000000
349.15                   0.0125                   650000000
349.15                   0.013000000000000001     650000000
349.15                   0.0135                   650000000
349.15                   0.014                    650000000
349.15                   0.0145                   650000000
349.15                   0.015                    650000000
349.15                   0.0155                   650000000
349.15                   0.016                    650000000
349.15                   0.0165                   650000000
349.15                   0.017                    650000000
349.15                   0.0175                   650000000
349.15                   0.018000000000000002     650000000
349.15                   0.0185                   650000000
349.15                   0.019                    650000000
349.15                   0.0195                   650000000
349.15                   0.02                     650000000
350.15                   0                        0
350.15                   5.0E-4                   105000000
350.15                   0.001                    210000000
350.15                   0.0015                   315000000
350.15                   0.002                    420000000
350.15                   0.0025                   525000000
350.15                   0.003                    630000000
350.15                   0.0035                   650000000
350.15                   0.004                    650000000
350.15                   0.0045000000000000005    650000000
350.15                   0.005                    650000000
350.15                   0.0055                   650000000
350.15                   0.006                    650000000
350.15                   0.006500000000000001     650000000
350.15                   0.007                    650000000
350.15                   0.0075                   650000000
350.15                   0.008                    650000000
350.15                   0.0085                   650000000
350.15                   0.009000000000000001     650000000
350.15                   0.0095                   650000000
350.15                   0.01                     650000000
350.15                   0.0105                   650000000
350.15                   0.011                    650000000
350.15                   0.0115                   650000000
350.15                   0.012                    650000000
350.15                   0.0125                   650000000
350.15                   0.013000000000000001     650000000
350.15                   0.0135                   650000000
350.15                   0.014                    650000000
350.15                   0.0145                   650000000
350.15                   0.015                    650000000
350.15                   0.0155                   650000000
350.15                   0.016                    650000000
350.15                   0.0165                   650000000
350.15                   0.017                    650000000
350.15                   0.0175                   650000000
350.15                   0.018000000000000002     650000000
350.15                   0.0185                   650000000
350.15                   0.019                    650000000
350.15                   0.0195                   650000000
350.15                   0.02                     650000000
351.15                   0                        0
351.15                   5.0E-4                   105000000
351.15                   0.001                    210000000
351.15                   0.0015                   315000000
351.15                   0.002                    420000000
351.15                   0.0025                   525000000
351.15                   0.003                    630000000
351.15                   0.0035                   650000000
351.15                   0.004                    650000000
351.15                   0.0045000000000000005    650000000
351.15                   0.005                    650000000
351.15                   0.0055                   650000000
351.15                   0.006                    650000000
351.15                   0.006500000000000001     650000000
351.15                   0.007                    650000000
351.15                   0.0075                   650000000
351.15                   0.008                    650000000
351.15                   0.0085                   650000000
351.15                   0.009000000000000001     650000000
351.15                   0.0095                   650000000
351.15                   0.01                     650000000
351.15                   0.0105                   650000000
351.15                   0.011                    650000000
351.15                   0.0115                   650000000
351.15                   0.012                    650000000
351.15                   0.0125                   650000000
351.15                   0.013000000000000001     650000000
351.15                   0.0135                   650000000
351.15                   0.014                    650000000
351.15                   0.0145                   650000000
351.15                   0.015                    650000000
351.15                   0.0155                   650000000
351.15                   0.016                    650000000
351.15                   0.0165                   650000000
351.15                   0.017                    650000000
351.15                   0.0175                   650000000
351.15                   0.018000000000000002     650000000
351.15                   0.0185                   650000000
351.15                   0.019                    650000000
351.15                   0.0195                   650000000
351.15                   0.02                     650000000
352.15                   0                        0
352.15                   5.0E-4                   105000000
352.15                   0.001                    210000000
352.15                   0.0015                   315000000
352.15                   0.002                    420000000
352.15                   0.0025                   525000000
352.15                   0.003                    630000000
352.15                   0.0035                   650000000
352.15                   0.004                    650000000
352.15                   0.0045000000000000005    650000000
352.15                   0.005                    650000000
352.15                   0.0055                   650000000
352.15                   0.006                    650000000
352.15                   0.006500000000000001     650000000
352.15                   0.007                    650000000
352.15                   0.0075                   650000000
352.15                   0.008                    650000000
352.15                   0.0085                   650000000
352.15                   0.009000000000000001     650000000
352.15                   0.0095                   650000000
352.15                   0.01                     650000000
352.15                   0.0105                   650000000
352.15                   0.011                    650000000
352.15                   0.0115                   650000000
352.15                   0.012                    650000000
352.15                   0.0125                   650000000
352.15                   0.013000000000000001     650000000
352.15                   0.0135                   650000000
352.15                   0.014                    650000000
352.15                   0.0145                   650000000
352.15                   0.015                    650000000
352.15                   0.0155                   650000000
352.15                   0.016                    650000000
352.15                   0.0165                   650000000
352.15                   0.017                    650000000
352.15                   0.0175                   650000000
352.15                   0.018000000000000002     650000000
352.15                   0.0185                   650000000
352.15                   0.019                    650000000
352.15                   0.0195                   650000000
352.15                   0.02                     650000000
353.15                   0                        0
353.15                   5.0E-4                   105000000
353.15                   0.001                    210000000
353.15                   0.0015                   315000000
353.15                   0.002                    420000000
353.15                   0.0025                   525000000
353.15                   0.003                    630000000
353.15                   0.0035                   650000000
353.15                   0.004                    650000000
353.15                   0.0045000000000000005    650000000
353.15                   0.005                    650000000
353.15                   0.0055                   650000000
353.15                   0.006                    650000000
353.15                   0.006500000000000001     650000000
353.15                   0.007                    650000000
353.15                   0.0075                   650000000
353.15                   0.008                    650000000
353.15                   0.0085                   650000000
353.15                   0.009000000000000001     650000000
353.15                   0.0095                   650000000
353.15                   0.01                     650000000
353.15                   0.0105                   650000000
353.15                   0.011                    650000000
353.15                   0.0115                   650000000
353.15                   0.012                    650000000
353.15                   0.0125                   650000000
353.15                   0.013000000000000001     650000000
353.15                   0.0135                   650000000
353.15                   0.014                    650000000
353.15                   0.0145                   650000000
353.15                   0.015                    650000000
353.15                   0.0155                   650000000
353.15                   0.016                    650000000
353.15                   0.0165                   650000000
353.15                   0.017                    650000000
353.15                   0.0175                   650000000
353.15                   0.018000000000000002     650000000
353.15                   0.0185                   650000000
353.15                   0.019                    650000000
353.15                   0.0195                   650000000
353.15                   0.02                     650000000
354.15                   0                        0
354.15                   5.0E-4                   105000000
354.15                   0.001                    210000000
354.15                   0.0015                   315000000
354.15                   0.002                    420000000
354.15                   0.0025                   525000000
354.15                   0.003                    630000000
354.15                   0.0035                   650000000
354.15                   0.004                    650000000
354.15                   0.0045000000000000005    650000000
354.15                   0.005                    650000000
354.15                   0.0055                   650000000
354.15                   0.006                    650000000
354.15                   0.006500000000000001     650000000
354.15                   0.007                    650000000
354.15                   0.0075                   650000000
354.15                   0.008                    650000000
354.15                   0.0085                   650000000
354.15                   0.009000000000000001     650000000
354.15                   0.0095                   650000000
354.15                   0.01                     650000000
354.15                   0.0105                   650000000
354.15                   0.011                    650000000
354.15                   0.0115                   650000000
354.15                   0.012                    650000000
354.15                   0.0125                   650000000
354.15                   0.013000000000000001     650000000
354.15                   0.0135                   650000000
354.15                   0.014                    650000000
354.15                   0.0145                   650000000
354.15                   0.015                    650000000
354.15                   0.0155                   650000000
354.15                   0.016                    650000000
354.15                   0.0165                   650000000
354.15                   0.017                    650000000
354.15                   0.0175                   650000000
354.15                   0.018000000000000002     650000000
354.15                   0.0185                   650000000
354.15                   0.019                    650000000
354.15                   0.0195                   650000000
354.15                   0.02                     650000000
355.15                   0                        0
355.15                   5.0E-4                   105000000
355.15                   0.001                    210000000
355.15                   0.0015                   315000000
355.15                   0.002                    420000000
355.15                   0.0025                   525000000
355.15                   0.003                    630000000
355.15                   0.0035                   650000000
355.15                   0.004                    650000000
355.15                   0.0045000000000000005    650000000
355.15                   0.005                    650000000
355.15                   0.0055                   650000000
355.15                   0.006                    650000000
355.15                   0.006500000000000001     650000000
355.15                   0.007                    650000000
355.15                   0.0075                   650000000
355.15                   0.008                    650000000
355.15                   0.0085                   650000000
355.15                   0.009000000000000001     650000000
355.15                   0.0095                   650000000
355.15                   0.01                     650000000
355.15                   0.0105                   650000000
355.15                   0.011                    650000000
355.15                   0.0115                   650000000
355.15                   0.012                    650000000
355.15                   0.0125                   650000000
355.15                   0.013000000000000001     650000000
355.15                   0.0135                   650000000
355.15                   0.014                    650000000
355.15                   0.0145                   650000000
355.15                   0.015                    650000000
355.15                   0.0155                   650000000
355.15                   0.016                    650000000
355.15                   0.0165                   650000000
355.15                   0.017                    650000000
355.15                   0.0175                   650000000
355.15                   0.018000000000000002     650000000
355.15                   0.0185                   650000000
355.15                   0.019                    650000000
355.15                   0.0195                   650000000
355.15                   0.02                     650000000
356.15                   0                        0
356.15                   5.0E-4                   105000000
356.15                   0.001                    210000000
356.15                   0.0015                   315000000
356.15                   0.002                    420000000
356.15                   0.0025                   525000000
356.15                   0.003                    630000000
356.15                   0.0035                   650000000
356.15                   0.004                    650000000
356.15                   0.0045000000000000005    650000000
356.15                   0.005                    650000000
356.15                   0.0055                   650000000
356.15                   0.006                    650000000
356.15                   0.006500000000000001     650000000
356.15                   0.007                    650000000
356.15                   0.0075                   650000000
356.15                   0.008                    650000000
356.15                   0.0085                   650000000
356.15                   0.009000000000000001     650000000
356.15                   0.0095                   650000000
356.15                   0.01                     650000000
356.15                   0.0105                   650000000
356.15                   0.011                    650000000
356.15                   0.0115                   650000000
356.15                   0.012                    650000000
356.15                   0.0125                   650000000
356.15                   0.013000000000000001     650000000
356.15                   0.0135                   650000000
356.15                   0.014                    650000000
356.15                   0.0145                   650000000
356.15                   0.015                    650000000
356.15                   0.0155                   650000000
356.15                   0.016                    650000000
356.15                   0.0165                   650000000
356.15                   0.017                    650000000
356.15                   0.0175                   650000000
356.15                   0.018000000000000002     650000000
356.15                   0.0185                   650000000
356.15                   0.019                    650000000
356.15                   0.0195                   650000000
356.15                   0.02                     650000000
357.15                   0                        0
357.15                   5.0E-4                   105000000
357.15                   0.001                    210000000
357.15                   0.0015                   315000000
357.15                   0.002                    420000000
357.15                   0.0025                   525000000
357.15                   0.003                    630000000
357.15                   0.0035                   650000000
357.15                   0.004                    650000000
357.15                   0.0045000000000000005    650000000
357.15                   0.005                    650000000
357.15                   0.0055                   650000000
357.15                   0.006                    650000000
357.15                   0.006500000000000001     650000000
357.15                   0.007                    650000000
357.15                   0.0075                   650000000
357.15                   0.008                    650000000
357.15                   0.0085                   650000000
357.15                   0.009000000000000001     650000000
357.15                   0.0095                   650000000
357.15                   0.01                     650000000
357.15                   0.0105                   650000000
357.15                   0.011                    650000000
357.15                   0.0115                   650000000
357.15                   0.012                    650000000
357.15                   0.0125                   650000000
357.15                   0.013000000000000001     650000000
357.15                   0.0135                   650000000
357.15                   0.014                    650000000
357.15                   0.0145                   650000000
357.15                   0.015                    650000000
357.15                   0.0155                   650000000
357.15                   0.016                    650000000
357.15                   0.0165                   650000000
357.15                   0.017                    650000000
357.15                   0.0175                   650000000
357.15                   0.018000000000000002     650000000
357.15                   0.0185                   650000000
357.15                   0.019                    650000000
357.15                   0.0195                   650000000
357.15                   0.02                     650000000
358.15                   0                        0
358.15                   5.0E-4                   105000000
358.15                   0.001                    210000000
358.15                   0.0015                   315000000
358.15                   0.002                    420000000
358.15                   0.0025                   525000000
358.15                   0.003                    630000000
358.15                   0.0035                   650000000
358.15                   0.004                    650000000
358.15                   0.0045000000000000005    650000000
358.15                   0.005                    650000000
358.15                   0.0055                   650000000
358.15                   0.006                    650000000
358.15                   0.006500000000000001     650000000
358.15                   0.007                    650000000
358.15                   0.0075                   650000000
358.15                   0.008                    650000000
358.15                   0.0085                   650000000
358.15                   0.009000000000000001     650000000
358.15                   0.0095                   650000000
358.15                   0.01                     650000000
358.15                   0.0105                   650000000
358.15                   0.011                    650000000
358.15                   0.0115                   650000000
358.15                   0.012                    650000000
358.15                   0.0125                   650000000
358.15                   0.013000000000000001     650000000
358.15                   0.0135                   650000000
358.15                   0.014                    650000000
358.15                   0.0145                   650000000
358.15                   0.015                    650000000
358.15                   0.0155                   650000000
358.15                   0.016                    650000000
358.15                   0.0165                   650000000
358.15                   0.017                    650000000
358.15                   0.0175                   650000000
358.15                   0.018000000000000002     650000000
358.15                   0.0185                   650000000
358.15                   0.019                    650000000
358.15                   0.0195                   650000000
358.15                   0.02                     650000000
359.15                   0                        0
359.15                   5.0E-4                   105000000
359.15                   0.001                    210000000
359.15                   0.0015                   315000000
359.15                   0.002                    420000000
359.15                   0.0025                   525000000
359.15                   0.003                    630000000
359.15                   0.0035                   650000000
359.15                   0.004                    650000000
359.15                   0.0045000000000000005    650000000
359.15                   0.005                    650000000
359.15                   0.0055                   650000000
359.15                   0.006                    650000000
359.15                   0.006500000000000001     650000000
359.15                   0.007                    650000000
359.15                   0.0075                   650000000
359.15                   0.008                    650000000
359.15                   0.0085                   650000000
359.15                   0.009000000000000001     650000000
359.15                   0.0095                   650000000
359.15                   0.01                     650000000
359.15                   0.0105                   650000000
359.15                   0.011                    650000000
359.15                   0.0115                   650000000
359.15                   0.012                    650000000
359.15                   0.0125                   650000000
359.15                   0.013000000000000001     650000000
359.15                   0.0135                   650000000
359.15                   0.014                    650000000
359.15                   0.0145                   650000000
359.15                   0.015                    650000000
359.15                   0.0155                   650000000
359.15                   0.016                    650000000
359.15                   0.0165                   650000000
359.15                   0.017                    650000000
359.15                   0.0175                   650000000
359.15                   0.018000000000000002     650000000
359.15                   0.0185                   650000000
359.15                   0.019                    650000000
359.15                   0.0195                   650000000
359.15                   0.02                     650000000
360.15                   0                        0
360.15                   5.0E-4                   105000000
360.15                   0.001                    210000000
360.15                   0.0015                   315000000
360.15                   0.002                    420000000
360.15                   0.0025                   525000000
360.15                   0.003                    630000000
360.15                   0.0035                   650000000
360.15                   0.004                    650000000
360.15                   0.0045000000000000005    650000000
360.15                   0.005                    650000000
360.15                   0.0055                   650000000
360.15                   0.006                    650000000
360.15                   0.006500000000000001     650000000
360.15                   0.007                    650000000
360.15                   0.0075                   650000000
360.15                   0.008                    650000000
360.15                   0.0085                   650000000
360.15                   0.009000000000000001     650000000
360.15                   0.0095                   650000000
360.15                   0.01                     650000000
360.15                   0.0105                   650000000
360.15                   0.011                    650000000
360.15                   0.0115                   650000000
360.15                   0.012                    650000000
360.15                   0.0125                   650000000
360.15                   0.013000000000000001     650000000
360.15                   0.0135                   650000000
360.15                   0.014                    650000000
360.15                   0.0145                   650000000
360.15                   0.015                    650000000
360.15                   0.0155                   650000000
360.15                   0.016                    650000000
360.15                   0.0165                   650000000
360.15                   0.017                    650000000
360.15                   0.0175                   650000000
360.15                   0.018000000000000002     650000000
360.15                   0.0185                   650000000
360.15                   0.019                    650000000
360.15                   0.0195                   650000000
360.15                   0.02                     650000000
361.15                   0                        0
361.15                   5.0E-4                   105000000
361.15                   0.001                    210000000
361.15                   0.0015                   315000000
361.15                   0.002                    420000000
361.15                   0.0025                   525000000
361.15                   0.003                    630000000
361.15                   0.0035                   650000000
361.15                   0.004                    650000000
361.15                   0.0045000000000000005    650000000
361.15                   0.005                    650000000
361.15                   0.0055                   650000000
361.15                   0.006                    650000000
361.15                   0.006500000000000001     650000000
361.15                   0.007                    650000000
361.15                   0.0075                   650000000
361.15                   0.008                    650000000
361.15                   0.0085                   650000000
361.15                   0.009000000000000001     650000000
361.15                   0.0095                   650000000
361.15                   0.01                     650000000
361.15                   0.0105                   650000000
361.15                   0.011                    650000000
361.15                   0.0115                   650000000
361.15                   0.012                    650000000
361.15                   0.0125                   650000000
361.15                   0.013000000000000001     650000000
361.15                   0.0135                   650000000
361.15                   0.014                    650000000
361.15                   0.0145                   650000000
361.15                   0.015                    650000000
361.15                   0.0155                   650000000
361.15                   0.016                    650000000
361.15                   0.0165                   650000000
361.15                   0.017                    650000000
361.15                   0.0175                   650000000
361.15                   0.018000000000000002     650000000
361.15                   0.0185                   650000000
361.15                   0.019                    650000000
361.15                   0.0195                   650000000
361.15                   0.02                     650000000
362.15                   0                        0
362.15                   5.0E-4                   105000000
362.15                   0.001                    210000000
362.15                   0.0015                   315000000
362.15                   0.002                    420000000
362.15                   0.0025                   525000000
